INSTNM,STABBR,year,earnings_med,count_not_working,count_working
Lyle's College of  Beauty,CA,2007,15700,48,143
Lytles Redwood Empire Beauty College Inc,CA,2007,14800,16,64
MTI Business College Inc,CA,2007,23700,65,191
MTI College,CA,2007,44000,145,743
Brightwood College-Sacramento,CA,2007,29600,35,107
Brightwood College-San Diego,CA,2007,34700,262,1344
Brightwood College-Vista,CA,2007,27600,166,789
College of Marin,CA,2007,37300,122,479
Marinello Schools of Beauty-Los Angeles,CA,2007,16200,97,286
Marinello School of Beauty,CA,2007,0,0,0
Marymount California University,CA,2007,44400,45,250
Mendocino College,CA,2007,28000,133,442
Menlo College,CA,2007,57200,23,193
Merced College,CA,2007,28200,336,1599
Merritt College,CA,2007,33500,118,502
Mills College,CA,2007,44400,36,272
MiraCosta College,CA,2007,32600,165,552
Marinello Schools of Beauty-San Francisco,CA,2007,23400,22,73
Mission College,CA,2007,39100,108,474
Modern Beauty Academy,CA,2007,18000,9,60
Brightwood College-Los Angeles-Van Nuys,CA,2007,35700,113,536
Modesto Junior College,CA,2007,31700,382,1760
Moler Barber College,CA,2007,0,12,15
Middlebury Institute of Intertiol Studies at Monterey,CA,2007,0,7,33
Monterey Peninsula College,CA,2007,31700,148,419
Moorpark College,CA,2007,41000,129,591
Mt San Antonio College,CA,2007,35600,318,1810
Mount Saint Mary's University,CA,2007,54100,71,740
Mt San Jacinto Community College District,CA,2007,29700,224,840
Musicians Institute,CA,2007,30100,56,225
pa Valley College,CA,2007,39800,86,437
Everest College-San Francisco,CA,2007,39600,100,760
Everest College-Reseda,CA,2007,29600,134,626
Everest College-LA Wilshire,CA,2007,31800,73,539
Everest College-San Jose,CA,2007,33600,94,481
Everest College-Garde,CA,2007,29600,95,667
Everest College-Alhambra,CA,2007,27400,157,713
Everest College-San Berrdino,CA,2007,28400,83,279
The tiol Hispanic University,CA,2007,0,4,38
tiol Holistic Institute,CA,2007,26900,172,524
tiol University,CA,2007,61700,489,4154
Newschool of Architecture and Design,CA,2007,0,7,34
Marinello School of Beauty,CA,2007,0,0,0
Newberry School of Beauty,CA,2007,21000,35,69
North Adrian's College of Beauty Inc,CA,2007,0,22,46
North-West College-Pomo,CA,2007,26700,64,347
North-West College-West Covi,CA,2007,29900,94,530
North-West College-Pasade,CA,2007,29600,29,142
Notre Dame de mur University,CA,2007,55400,43,279
Occidental College,CA,2007,54600,31,408
Oceanside College of Beauty,CA,2007,0,0,0
Ohlone College,CA,2007,42900,65,353
Orange Coast College,CA,2007,37400,333,1700
Otis College of Art and Design,CA,2007,43600,40,294
Oxrd College,CA,2007,31800,186,829
Hope Intertiol University,CA,2007,38500,53,323
Concorde Career College-San Diego,CA,2007,29800,90,412
Pacific Oaks College,CA,2007,48300,17,143
Pacific Union College,CA,2007,53600,62,588
University of the Pacific,CA,2007,61600,87,1036
Palo Verde College,CA,2007,24100,27,127
Palomar College,CA,2007,35500,219,807
